date,total,out_of_region,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Grand Est,Hauts-de-France,Île-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2023-01-29,38778,32671,712,411,371,357,8,550,424,663,337,1058,490,412,314
2024-12-21,40915,32803,996,542,499,493,11,757,542,748,470,1373,638,620,423
2025-01-01,40939,32806,1001,542,503,493,11,758,547,748,471,1375,640,620,424
2025-02-01,41004,32808,1014,544,513,498,13,764,551,751,473,1380,644,625,426
2025-03-01,41062,32812,1027,547,518,502,13,765,561,752,476,1390,645,627,427
2025-04-01,41155,32814,1041,547,529,506,13,768,568,756,481,1416,647,641,428
2025-05-01,41263,32815,1044,567,536,507,14,780,576,763,495,1430,649,655,432
2025-06-01,41383,32816,1058,577,549,511,14,814,584,766,506,1441,655,660,432
2025-07-01,41482,32824,1077,583,555,518,14,824,600,770,510,1452,660,662,433
2025-08-01,41593,32826,1094,590,572,525,14,829,621,771,515,1471,665,665,435
