date,total,out_of_region,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Grand Est,Hauts-de-France,Île-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2024-12-21,733,226,61,28,55,17,2,60,28,69,29,52,44,35,27
2025-01-01,733,226,61,28,55,17,2,60,28,69,29,52,44,35,27
2025-02-01,733,226,61,28,55,17,2,60,28,69,29,52,44,35,27
2025-03-01,733,226,61,28,55,17,2,60,28,69,29,52,44,35,27
2025-04-01,733,226,61,28,55,17,2,60,28,69,29,52,44,35,27
2025-05-01,733,226,61,28,55,17,2,60,28,69,29,52,44,35,27
2025-06-01,733,226,61,28,55,17,2,60,28,69,29,52,44,35,27
2025-07-01,733,226,61,28,55,17,2,60,28,69,29,52,44,35,27
2025-08-01,733,226,61,28,55,17,2,60,28,69,29,52,44,35,27
2025-09-01,733,226,61,28,55,17,2,60,28,69,29,52,44,35,27
2025-10-01,733,226,61,28,55,17,2,60,28,69,29,52,44,35,27
2025-11-01,733,226,61,28,55,17,2,60,28,69,29,52,44,35,27
