date,total,out_of_region,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Grand Est,Hauts-de-France,Île-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur
2024-12-21,235,171,9,4,3,0,1,12,3,5,3,5,6,5,8
2025-01-01,236,171,9,4,3,0,1,13,3,5,3,5,6,5,8
2025-02-01,236,171,9,4,3,0,1,13,3,5,3,5,6,5,8
2025-03-01,236,171,9,4,3,0,1,13,3,5,3,5,6,5,8
2025-04-01,238,171,9,4,4,0,1,13,3,5,3,5,6,6,8
2025-05-01,240,171,9,4,5,0,1,13,3,5,3,5,6,6,9
2025-06-01,240,171,9,4,5,0,1,13,3,5,3,5,6,6,9
2025-07-01,240,171,9,4,5,0,1,13,3,5,3,5,6,6,9
2025-08-01,241,171,9,4,5,0,1,13,3,5,4,5,6,6,9
2025-09-01,243,171,10,4,5,0,1,13,3,5,4,5,6,7,9
2025-10-01,243,171,10,4,5,0,1,13,3,5,4,5,6,7,9
2025-11-01,245,171,10,4,5,1,1,13,3,5,5,5,6,7,9
2025-12-01,246,171,10,4,5,1,1,13,3,5,5,5,6,8,9
2026-01-01,246,171,10,4,5,1,1,13,3,5,5,5,6,8,9
